id,nombre,correo,ciudad,fecha_registro,estatus
1,Ana García,ana.garcia@email.com,Monterrey,2022-12-15,activo
2,Luis Torres,luis.torres@correo.mx,Guadalajara,2023-05-04,inactivo
3,Karen Soto,karen.soto@correo.mx,CDMX,2021-09-23,activo
4,Raúl Méndez,raul.mendez@ejemplo.org,Puebla,2023-01-14,activo
5,Sofía Paredes,sofia.paredes@email.com,León,2022-03-02,inactivo
6,Carlos Ramírez,carlos.ramirez@correo.mx,Tijuana,2021-11-12,activo
7,María López,maria.lopez@correo.mx,Querétaro,2023-04-28,activo
8,Daniel Hernández,daniel.hernandez@ejemplo.org,Mérida,2022-07-21,inactivo
9,Laura Martínez,laura.martinez@email.com,Cancún,2023-02-10,activo
10,José Pérez,jose.perez@correo.mx,Monterrey,2022-05-19,inactivo
11,Andrea Gómez,andrea.gomez@correo.mx,CDMX,2022-10-06,activo
12,Fernando Ruiz,fernando.ruiz@ejemplo.org,Puebla,2021-06-17,activo
13,Lucía Navarro,lucia.navarro@correo.mx,León,2023-07-02,activo
14,Pablo Morales,pablo.morales@email.com,Tijuana,2021-12-25,inactivo
15,Isabel Castro,isabel.castro@ejemplo.org,Guadalajara,2022-08-14,activo
16,Miguel Ortega,miguel.ortega@correo.mx,Cancún,2023-03-03,activo
17,Paola Silva,paola.silva@email.com,Querétaro,2021-07-29,inactivo
18,Jorge Vargas,jorge.vargas@correo.mx,Mérida,2022-11-11,activo
19,Carmen Ríos,carmen.rios@ejemplo.org,CDMX,2021-10-22,activo
20,Víctor Salinas,victor.salinas@email.com,Toluca,2023-01-19,inactivo
21,Nancy Fuentes,nancy.fuentes@correo.mx,Monterrey,2022-04-09,activo
22,Arturo Delgado,arturo.delgado@correo.mx,León,2023-06-15,activo
23,Rosa Maldonado,rosa.maldonado@email.com,Tijuana,2021-05-18,inactivo
24,Alfredo Castillo,alfredo.castillo@ejemplo.org,Guadalajara,2022-09-30,activo
25,Gabriela Serrano,gabriela.serrano@correo.mx,CDMX,2023-02-25,activo
26,Ricardo Bravo,ricardo.bravo@email.com,Puebla,2022-03-12,inactivo
27,Patricia Estrada,patricia.estrada@correo.mx,Cancún,2021-08-03,activo
28,Santiago Villa,santiago.villa@correo.mx,Querétaro,2022-12-22,inactivo
29,Mónica Cordero,monica.cordero@email.com,Mérida,2023-05-01,activo
30,Ernesto Cabrera,ernesto.cabrera@ejemplo.org,Toluca,2021-11-27,inactivo
31,Nombre31,nombre31@ejemplo.com,Ciudad31,2025-04-28,Inactivo
32,Nombre32,nombre32@ejemplo.com,Ciudad32,2025-04-28,Activo
33,Nombre33,nombre33@ejemplo.com,Ciudad33,2025-04-28,Inactivo
34,Nombre34,nombre34@ejemplo.com,Ciudad34,2025-04-28,Activo
35,Nombre35,nombre35@ejemplo.com,Ciudad35,2025-04-28,Inactivo
36,Nombre36,nombre36@ejemplo.com,Ciudad36,2025-04-28,Activo
37,Nombre37,nombre37@ejemplo.com,Ciudad37,2025-04-28,Inactivo
38,Nombre38,nombre38@ejemplo.com,Ciudad38,2025-04-28,Activo
39,Nombre39,nombre39@ejemplo.com,Ciudad39,2025-04-28,Inactivo
40,Nombre40,nombre40@ejemplo.com,Ciudad40,2025-04-28,Activo
41,Nombre41,nombre41@ejemplo.com,Ciudad41,2025-04-28,Inactivo
42,Nombre42,nombre42@ejemplo.com,Ciudad42,2025-04-28,Activo
43,Nombre43,nombre43@ejemplo.com,Ciudad43,2025-04-28,Inactivo
44,Nombre44,nombre44@ejemplo.com,Ciudad44,2025-04-28,Activo
